site,location,date,gear,haul,area_sampled_ft2,shortnose_gar,emerald_shiner,sand_shiner,river_shiner,spotfin_shiner,bluegill_juv,green_sunfish,fathead_minnow,largemouth_juv,orange_spotted_sunfish,yoy,smallmouth_buffalo,crappie
bcra,below,6/12/2017,20ft_seine,1,400,,,,5,10,1,,1,2,,1,,
bcra,below,6/12/2017,20ft_seine,2,400,,,,5,2,8,,1,,,1,,
bcra,above,6/12/2017,20ft_seine,1,400,,,,9,9,2,,,,,4,2,
bcra,above,6/12/2017,20ft_seine,2,400,,,,36,3,5,,1,8,,,,
bcra,below,6/23/2017,20ft_seine,1,400,,,,3,2,6,,,,,,,3
bcra,below,6/23/2017,20ft_seine,2,400,,,,1,2,,,,,,20,,2
bcra,above,6/23/2017,20ft_seine,1,400,,,,12,4,,,6,,,,41,
bcra,above,6/23/2017,20ft_seine,2,400,,,,10,5,,,1,,,,4,
bcra,below,6/28/2017,20ft_seine,1,400,,,,5,4,,,,,,,,
bcra,below,6/28/2017,20ft_seine,2,400,,,,,2,,,,,,,,
bcra,above,6/28/2017,20ft_seine,1,400,2,,,,2,,,,1,,,4,
bcra,above,6/28/2017,20ft_seine,2,400,,1,,10,55,1,,2,1,,,19,
