"","species","date","mean_g_wm_ind","source","method"
"1","smallmouth_buffalo","2017-06-13",0.3,"Warmbold (2016)","direct_mass_measure"
"2","smallmouth_buffalo","2017-06-23",0.3,"Warmbold (2016)","direct_mass_measure"
"3","smallmouth_buffalo","2017-06-28",0.3,"Warmbold (2016)","direct_mass_measure"
"4","emerald_shiner","2017-06-13",1.3,"guess of authors (2017)","length_wt_regression"
"5","emerald_shiner","2017-06-23",1.3,"guess of authors (2017)","length_wt_regression"
"6","emerald_shiner","2017-06-28",1.3,"guess of authors (2017)","length_wt_regression"
"7","shortnose_gar","2017-06-13",439,"guess of authors (2017)","length_wt_regression"
"8","shortnose_gar","2017-06-23",439,"guess of authors (2017)","length_wt_regression"
"9","shortnose_gar","2017-06-28",439,"guess of authors (2017)","length_wt_regression"
"10","fathead_minnow","2017-06-13",2.8,"guess of authors (2017)","length_wt_regression"
"11","fathead_minnow","2017-06-23",2.8,"guess of authors (2017)","length_wt_regression"
"12","fathead_minnow","2017-06-28",2.8,"guess of authors (2017)","length_wt_regression"
"13","yoy","2017-06-13",0.1,"guess of authors (2017)","length_wt_regression"
"14","yoy","2017-06-23",0.1,"guess of authors (2017)","length_wt_regression"
"15","yoy","2017-06-28",0.1,"guess of authors (2017)","length_wt_regression"
"16","crappie","2017-06-13",0.4,"guess of authors (2017)","length_wt_regression"
"17","crappie","2017-06-23",0.4,"guess of authors (2017)","length_wt_regression"
"18","crappie","2017-06-28",0.4,"guess of authors (2017)","length_wt_regression"
"19","bluegill","2017-06-13",1.89433502814468,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"20","bluegill","2017-06-23",1.92810675799397,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"21","bluegill","2017-06-28",1.91150762558732,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"22","largemouth","2017-06-13",0.619904308989297,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"23","largemouth","2017-06-23",1.1281813019307,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"24","largemouth","2017-06-28",0.976313660851131,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"25","quillback","2017-06-13",2.60906619135427,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"26","river_shiner","2017-06-13",1.00306606817486,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"27","river_shiner","2017-06-23",0.877874065675197,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"28","river_shiner","2017-06-28",1.07322745189914,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"29","spotfin","2017-06-13",1.15695484220532,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"30","spotfin","2017-06-23",1.30926419127082,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
"31","spotfin","2017-06-28",1.49658738364206,"Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.","length_wt_regression"
