"","species","date2","mean","median","sd","low95","high95"
"1","Bluegill","2017-06-13",0.07,0.06,0.03,0.02,0.15
"2","Bluegill","2017-06-23",0.21,0.2,0.08,0.09,0.4
"3","Bluegill","2017-06-28",0.24,0.22,0.11,0.08,0.49
"4","Spotfin Shiner","2017-06-13",0.22,0.21,0.08,0.09,0.41
"5","Spotfin Shiner","2017-06-23",0.57,0.58,0.14,0.29,0.82
"6","Spotfin Shiner","2017-06-28",0.75,0.76,0.08,0.57,0.88
"7","Largemouth Bass","2017-06-13",0.12,0.11,0.06,0.04,0.27
"8","Largemouth Bass","2017-06-23",0.1,0.09,0.07,0.02,0.27
"9","Largemouth Bass","2017-06-28",0.6,0.61,0.15,0.27,0.85
"10","River Shiner","2017-06-13",0.16,0.14,0.08,0.05,0.34
"11","River Shiner","2017-06-23",0.52,0.54,0.29,0.03,0.97
"12","River Shiner","2017-06-28",0.54,0.55,0.25,0.08,0.94
